ID|Key|Raw|MountPoint|Source|FSType|Host|HostIP
100000|6a0b1a32703877b3e8c3ede96d1b981efcad1a87316bbea6fbd95d74cb9275f7|orion⋮/|/|/dev/disk3s1s1|apfs|orion|10.147.20.229
100001|aaa8450ec138a0318ebb44834f66faeed898a2add03d5cb903548b65b2b7f559|orion⋮/dev|/dev|devfs|devfs|orion|10.147.20.229
100002|20d51e07584771b907c5ece5b34f2a0b6afc6f5863e3c6c0e806e5cc860afae9|orion⋮/System/Volumes/VM|/System/Volumes/VM|/dev/disk3s6|apfs|orion|10.147.20.229
100003|5bafdba6dcf5a4bb3032605ac1ff151a7df6379b02001edb034743b6674836e4|orion⋮/System/Volumes/Preboot|/System/Volumes/Preboot|/dev/disk3s2|apfs|orion|10.147.20.229
100004|0e1104d23eeef945d22718df0bb170406cf8627175e2471e922035fd332f6b0c|orion⋮/System/Volumes/Update|/System/Volumes/Update|/dev/disk3s4|apfs|orion|10.147.20.229
100005|f68ee45753aa49e8630d09487c684c1bb55d37f018571c78169d3e05200cf4e6|orion⋮/System/Volumes/xarts|/System/Volumes/xarts|/dev/disk2s2|apfs|orion|10.147.20.229
100006|3fd8d6f6376450e07663014ebcfcef8184eea2173feb58837b5f6f2b622e9296|orion⋮/System/Volumes/iSCPreboot|/System/Volumes/iSCPreboot|/dev/disk2s1|apfs|orion|10.147.20.229
100007|de6a70102556089960517f91d9564523515c8754049c728fec33e461bb04e573|orion⋮/System/Volumes/Hardware|/System/Volumes/Hardware|/dev/disk2s3|apfs|orion|10.147.20.229
100008|958e359d4c508ad43aa6aed3eb5d59294fab6b4b14ea10ec23df3a1ec54d3da2|orion⋮/System/Volumes/Data|/System/Volumes/Data|/dev/disk3s5|apfs|orion|10.147.20.229
100009|1be498c9287a712b29e2877137b704e96e1e02577a652e2b3b48b3cdda88de04|orion⋮/System/Volumes/Data/home|/System/Volumes/Data/home|map auto_home|autofs|orion|10.147.20.229
100010|aede2699c759721b67c6b280273f51d6ac89a186f3f0dd61e5e16103877c45d5|orion⋮/Volumes/FileStore|/Volumes/FileStore|//com.apple.idms.appleid.prd.001241-10-8905ee2b-11b0-4786-a01c-84aaeaab3451@silicon._smb._tcp.local/FileStore|smbfs|orion|10.147.20.229
100011|80ad539f258fb470e128a48197d8e2b44e5e20733a94d0028d22db785fbc2939|orion⋮/Volumes/Tardis 01|/Volumes/Tardis 01|/dev/disk5s2|apfs|orion|10.147.20.229
# Generated (12) Storages at 12:14:18 2025-03-14 by 501_matttownsend on orion(*nix)
